Date,State,Confirmed,Predicted
2020/3/31,AR,56,-1
2020/4/1,AR,60,-1
2020/4/2,AR,59,-1
2020/4/3,AR,55,-1
2020/4/4,AR,5,-1
2020/4/5,AR,110,-1
2020/4/6,AR,74,-1
2020/4/7,AR,70,-1
2020/4/8,AR,80,-1
2020/4/9,AR,69,-1
2020/4/10,AR,56,-1
2020/4/11,AR,26,-1
2020/4/12,AR,52,-1
2020/4/13,AR,195,-1
2020/4/14,AR,23,-1
2020/4/15,AR,101,-1
2020/4/16,AR,21,-1
2020/4/17,AR,75,-1
2020/4/18,AR,82,-1
2020/4/19,AR,4,-1
2020/4/20,AR,190,-1
2020/4/21,AR,291,-1
2020/4/22,AR,130,-1
2020/4/23,AR,207,-1
2020/4/24,AR,211,-1
2020/4/25,AR,99,-1
2020/4/26,AR,92,-1
2020/4/27,AR,68,-1
2020/4/28,AR,58,-1
2020/4/29,AR,80,-1
2020/4/30,AR,74,-1
2020/5/1,AR,29,-1
2020/5/2,AR,62,-1
2020/5/3,AR,59,-1
2020/5/4,AR,38,-1
2020/5/5,AR,56,-1
2020/5/6,AR,86,-1
2020/5/7,AR,83,-1
2020/5/8,AR,53,-1
2020/5/9,AR,0,-1
2020/5/10,AR,265,-1
2020/5/11,AR,31,-1
2020/5/12,AR,121,-1
2020/5/13,AR,72,-1
2020/5/14,AR,130,-1
2020/5/15,AR,97,-1
2020/5/16,AR,115,-1
2020/5/17,AR,181,-1
2020/5/18,AR,54,-1
2020/5/19,AR,110,-1
2020/5/20,AR,80,-1
2020/5/21,AR,455,-1
2020/5/22,AR,154,-1
2020/5/23,AR,163,-1
2020/5/24,AR,147,-1
2020/5/25,AR,107,-1
2020/5/26,AR,151,-1
2020/5/27,AR,97,-1
2020/5/28,AR,261,-1
2020/5/29,AR,239,-1
2020/5/30,AR,236,-1
2020/5/31,AR,240,-1
2020/6/1,AR,190,-1
2020/6/2,AR,375,-1
2020/6/3,AR,249,-1
2020/6/4,AR,358,-1
2020/6/5,AR,226,-1
2020/6/6,AR,450,-1
2020/6/7,AR,325,-1
2020/6/8,AR,314,-1
2020/6/9,AR,340,-1
2020/6/10,AR,288,-1
2020/6/11,AR,448,-1
2020/6/12,AR,731,-1
2020/6/13,AR,548,-1
2020/6/14,AR,406,-1
2020/6/15,AR,416,-1
2020/6/16,AR,274,-1
2020/6/17,AR,415,-1
2020/6/18,AR,322,-1
2020/6/19,AR,703,-1
2020/6/20,AR,511,-1
2020/6/21,AR,419,-1
2020/6/22,AR,522,-1
2020/6/23,AR,595,-1
2020/6/24,AR,697,-1
2020/6/25,AR,687,-1
2020/6/26,AR,678,-1
2020/6/27,AR,570,-1
2020/6/28,AR,508,-1
2020/6/29,AR,439,-1
2020/6/30,AR,520,-1
2020/7/1,AR,420,-1
2020/7/2,AR,878,-1
2020/7/3,AR,547,-1
2020/7/4,AR,587,-1
2020/7/5,AR,605,-1
2020/7/6,AR,439,-1
2020/7/7,AR,259,-1
2020/7/8,AR,734,-1
2020/7/9,AR,806,-1
2020/7/10,AR,751,-1
2020/7/11,AR,1061,-1
2020/7/12,AR,503,-1
2020/7/13,AR,572,-1
2020/7/14,AR,794,-1
2020/7/15,AR,564,-1
2020/7/16,AR,817,-1
2020/7/17,AR,648,-1
2020/7/18,AR,771,-1
2020/7/19,AR,695,-1
2020/7/20,AR,699,-1
2020/7/21,AR,728,-1
2020/7/22,AR,591,-1
2020/7/23,AR,1013,-1
2020/7/24,AR,990,-1
2020/7/25,AR,732,-1
2020/7/26,AR,642,-1
2020/7/27,AR,824,-1
2020/7/28,AR,734,-1
2020/7/29,AR,787,-1
2020/7/30,AR,791,-1
2020/7/31,AR,752,-1
2020/8/1,AR,662,-1
2020/8/2,AR,637,-1
2020/8/3,AR,787,-1
2020/8/4,AR,784,-1
2020/8/5,AR,912,-1
2020/8/6,AR,735,-1
2020/8/7,AR,1011,-1
2020/8/8,AR,772,-1
2020/8/9,AR,572,-1
2020/8/10,AR,645,-1
2020/8/11,AR,383,-1
2020/8/12,AR,703,-1
2020/8/13,AR,652,-1
